DNI;CUIL;Apellidos y Nombres;Fecha de Nacimiento;Sexo;Fecha de afiliación;Categoría;Fecha de última cuota paga;Estado;Plan;Email Tutor
11111111;20-11111111-2;Perez, Juan;15/5/1990;M;10/1/2020;ADULTO;1/5/2026;A;PREMIUM;juan@gmail.com
22222222;27-22222222-8;Gomez, Ana;20/10/1995;F;15/2/2021;ADULTO;10/4/2026;A;BASIC;ana@outlook.com
33333333;20-33333333-4;Ruiz, Carlos;1/1/2012;M;20/3/2023;MENOR;1/5/2026;A;VIP;carlos@empresa.com.ar
44444445;27-44444445-8;Diaz, Maria;12/12/1992;F;5/5/2022;ADULTO;1/5/2026;A;FAMILY;
55555555;20-55555555-6;   lOpeZ toMaS   ;10/10/1980;M;1/1/2020;ADULTO;1/5/2026;A;BASIC;tomas@gmail.com
66666666;27-66666666-1;sosa,luciA;31/1/2000;F;10/10/2023;ADULTO;1/5/2026;A;PREMIUM;lucia@gmail.com
77777777;20-77777777-8;Silva, Pedro;20/5/1985;M;15/4/2010;ADULTO;1/5/2026;A;VIP;
88888888;27-88888888-3;Molina, Clara;30/8/1998;F;1/1/2020;ADULTO;1/5/2026;A;FAMILY;clara@outlook.com
31000000;27-31000000-6;Rios, Julia;14/7/2014;F;20/5/2025;MENOR;1/5/2026;A;BASIC;tutor@yahoo.com
32000001;20-32000001-8;Vega, Marcos;5/9/1996;M;10/11/2024;ADULTO;1/5/2026;A;PREMIUM;marcos@gmail.com
33000000;20-33000000-8;Luna, Diego;22/11/1991;M;15/12/2022;ADULTO;1/5/2026;A;BASIC;diego@yahoo.com
34000000;27-34000000-0;Cruz, Alma;18/3/1988;F;20/1/2024;ADULTO;1/5/2026;A;FAMILY;alma@gmail.com
35000000;20-35000000-4;Rojas, Mateo;7/7/1970;M;5/3/2015;ADULTO;1/5/2026;A;BASIC;
36000000;20-36000000-2;Ortiz, Leo;25/12/2015;M;10/8/2025;MENOR;1/5/2026;A;PREMIUM;leo@outlook.com
37000000;27-37000000-5;paez fito;13/3/1963;F;1/1/2020;ADULTO;1/5/2026;A;VIP;fito@gmail.com
38000000;20-38000000-4;Suarez, Maria;20/4/1994;F;15/7/2021;ADULTO;1/5/2026;A;FAMILY;maria@outlook.com
39000000;20-39000000-7;Garcia, Laura;23/10/1990;F;10/10/2018;ADULTO;1/5/2026;A;VIP;laura@yahoo.com
40000000;20-40000000-0;Gimenez, Lolo;10/12/2014;M;5/5/2025;MENOR;1/5/2026;A;PREMIUM;
41A00000;27-41000000-3;Iglesias, Julieta;1/1/2015;F;10/1/2026;MENOR;1/5/2026;A;FAMILY;tutor@gmail.com
42000000;20-42000000-7;Blanco, Ariel;30/1/1989;M;10/10/2020;ADULTO;1/5/2026;A;ORO;ariel@empresa.com
