DNI;CUIL;Apellidos y Nombres;Fecha de Nacimiento;Sexo;Fecha de afiliación;Categoría;Fecha de última cuota paga;Estado;Plan;Email Tutor
12345678;20-12345678-6;     GoMEz,       juan   Carlos     ;15/4/1985;M;10/3/2020;ADULTO;1/5/2026;A;PREMIUM;
-56;27-23456789-4;Fernandez Maria Laura;22/9/1992;F;18/6/2021;ADULTO;28/4/2026;A;VIP;
43098435;20-43098435-8;Pachilla, Fabricio;10/1/2000;M;5/2/2023;ADULTO;20/4/2026;A;BASIC;tutor.lucas@gmail.com
30111222;27-30111222-5;Rodriguez Ana sofia;12/5/2016;F;12/5/2020;MENOR;15/4/2026;A;FAMILY;tutor.ana@gmail.com
36387441;20-36387441-0;Lopez Martin Andres;5/7/1980;M;21/8/2019;ADULTO;10/5/2026;A;VIP;
2;27-67890123-8;Martinez Carla Beatriz;14/2/1975;F;1/1/2018;ADULTO;5/5/2026;A;PREMIUM;
40000000;20-40000000-4;;19/3/2024;M;15/3/2022;ADULTO;1/5/2026;A;BASIC;
40000000;20-40000000-4;Diaz Valentina Rocio;25/12/2012;F;9/9/2023;MENOR;30/4/2026;A;FAMILY;tutor.valentina@gmail.com
90123456;20-90123456-1;Ruiz Nicolas         Javier;8/8/2019;M;11/11/2020;MENOR;2/5/2026;A;PREMIUM;tutor.valentina@gmail.com
abc;27-11223344-2;Torres Camila Belen;17/5/1988;F;22/2/2021;ADULTO;27/4/2026;A;VIP;
35974829;23-35974829-9;Ramirez Tomas Elias;ASASASAS;M;13/4/2024;MENOR;18/4/2026;A;BASIC;tutor.tomas@
12563607;27-12563607-7;Acosta Julieta Noemi;9/10/1979;R;19/9/2017;ADULTO;3/5/2026;A;FAMILY;
1000000000;20-44556677-5;Molina Diego Hernan;27/1/1968;M;25/5/2016;ADULTO;6/5/2026;B;VIP;
17841240;27-17841240-5;Castro Milagros Elena;13/12/2009;F;7/7/2008;MENOR;22/4/2026;A;PREMIUM;tutor.miligmail.com
32009292;27-32009292-8;Silva Bruno Ezequiel;3/3/1995;M;17/8/2022;MENOR;8/5/2026;A;BASIC;
43909722;20-43909722-2;Ramirez Tomas Elias;1/6/2011;M;13/4/2024;MENOR;18/4/2023;A;BASIC;tutor.tomas@gmail.com
13343575;20-13343575-2;Ramirez Tobias;15/1/2000;M;14/4/2024;ADULTO;19/4/2025;S;;
27353224;20-27353224-3;Ramires Tobias;16/1/2000;M;15/4/2024;ADULTO;20/4/2025;A;ORO;
23228120;20-23228120-1;Ramirez Thomas;17/1/2000;M;16/4/2024;ADULTO;21/4/2025;A;BASIC;mailinvalido
43385053;20-43385053-0;Gonzalez Facundo;18/1/2010;M;17/4/2024;MENOR;22/4/2025;A;BASIC;
